example,method,param,value
15,joint,beta_gain,0.4165297833
15,joint,gamma_gain,1.174122944
15,joint,uncMeta,2.69950405
15,joint,confCritR,2.462741196
15,joint,confCritL,4.008914899
15,joint,nll,89.13044257
15,joint_seq_init,guessRate,0.01
15,joint_seq_init,alpha_gain,0.3480900643
15,joint_seq_init,beta_gain,0.1163082317
15,joint_seq_init,gamma_gain,1.389884389
15,joint_seq_init,uncMeta,2.221281362
15,joint_seq_init,confCritR,1.309371791
15,joint_seq_init,confCritL,3.551947213
15,joint_seq_init,nll,87.78525383
16,truth,guessRate,0
16,truth,alpha_gain,0.8711483628
16,truth,beta_gain,-0.002106282139
16,truth,gamma_gain,5.081263594
16,truth,uncMeta,1.355496588
16,truth,confCritR,0.3630822233
16,truth,confCritL,2.742711721
16,truth,nll,8.232226035
16,sequential,guessRate,0.01
16,sequential,alpha_gain,0.7412174658
16,sequential,beta_gain,0.280678811
16,sequential,gamma_gain,5.240650537
16,sequential,uncMeta,2.57081882
16,sequential,confCritR,0.2305397797
16,sequential,confCritL,2.048928335
16,sequential,nll,8.921713643
16,joint,guessRate,0.01
16,joint,alpha_gain,0.7873274171
16,joint,beta_gain,0.2518201057
16,joint,gamma_gain,7.99136055
16,joint,uncMeta,0.9631727715
16,joint,confCritR,1.22789252
16,joint,confCritL,3.533854781
16,joint,nll,7.552992342
16,joint_seq_init,guessRate,0.01
16,joint_seq_init,alpha_gain,0.7820762222
16,joint_seq_init,beta_gain,0.2801539524
16,joint_seq_init,gamma_gain,6.387876656
16,joint_seq_init,uncMeta,1.243891766
16,joint_seq_init,confCritR,0.3914783388
16,joint_seq_init,confCritL,3.454958059
16,joint_seq_init,nll,7.789836251
17,truth,guessRate,0
17,truth,alpha_gain,0.3732936559
17,truth,beta_gain,0.2458751735
17,truth,gamma_gain,0.6978108045
17,truth,uncMeta,2.825203053
17,truth,confCritR,6.418545244
17,truth,confCritL,1.143975092
17,truth,nll,98.29782593
17,sequential,guessRate,0.01
17,sequential,alpha_gain,0.3969829516
17,sequential,beta_gain,0.3207113025
17,sequential,gamma_gain,0.630981419
17,sequential,uncMeta,2.298820716
17,sequential,confCritR,3.906611916
17,sequential,confCritL,0.9503606204
17,sequential,nll,98.12201252
17,joint,guessRate,0.01
17,joint,alpha_gain,0.4960792005
17,joint,beta_gain,0.2736641254
17,joint,gamma_gain,0.3471258497
17,joint,uncMeta,2.227511497
17,joint,confCritR,3.313885914
17,joint,confCritL,1.019135342
17,joint,nll,99.32698679
17,joint_seq_init,guessRate,0.01
17,joint_seq_init,alpha_gain,0.3812413115
17,joint_seq_init,beta_gain,0.3212377204
17,joint_seq_init,gamma_gain,0.6079508177
17,joint_seq_init,uncMeta,0.8547036575
17,joint_seq_init,confCritR,1.590108032
17,joint_seq_init,confCritL,0.6564030762
17,joint_seq_init,nll,98.3438144
18,truth,guessRate,0
18,truth,alpha_gain,0.6684143194
18,truth,beta_gain,0.001081677289
18,truth,gamma_gain,0.8528832825
18,truth,uncMeta,4.035186528
18,truth,confCritR,0.3402496576
18,truth,confCritL,1.04748207
18,truth,nll,53.68383905
18,sequential,guessRate,0.01
18,sequential,alpha_gain,0.6425840086
18,sequential,beta_gain,0.2922951913
18,sequential,gamma_gain,1.188434956
18,sequential,uncMeta,0.4216100138
18,sequential,confCritR,0.1064347867
18,sequential,confCritL,1.06124532
18,sequential,nll,51.79679951
18,joint,guessRate,0.01
18,joint,alpha_gain,0.6384176905
18,joint,beta_gain,0.3556537811
18,joint,gamma_gain,0.9251568968
18,joint,uncMeta,1.984109423
18,joint,confCritR,0.1510582155
18,joint,confCritL,0.9854491139
18,joint,nll,52.57935084
18,joint_seq_init,guessRate,0.01
18,joint_seq_init,alpha_gain,0.6640516817
18,joint_seq_init,beta_gain,0.2872470443
18,joint_seq_init,gamma_gain,1.189430116
18,joint_seq_init,uncMeta,3.857896327
18,joint_seq_init,confCritR,0.5874739416
18,joint_seq_init,confCritL,1.865300428
18,joint_seq_init,nll,51.60872963
19,truth,guessRate,0
19,truth,alpha_gain,0.7949987717
19,truth,beta_gain,0.5624576673
19,truth,gamma_gain,1.772635087
19,truth,uncMeta,4.358279272
19,truth,confCritR,0.402659697
19,truth,confCritL,0.1444356896
19,truth,nll,17.47271637
19,sequential,guessRate,0.01
19,sequential,alpha_gain,0.7337881371
19,sequential,beta_gain,0.3866003754
19,sequential,gamma_gain,3.744043147
19,sequential,uncMeta,1.674310299
19,sequential,confCritR,0.3449667095
19,sequential,confCritL,0.9202189949
19,sequential,nll,17.12512028
19,joint,guessRate,0.01
19,joint,alpha_gain,0.8473649133
19,joint,beta_gain,0.52724802
19,joint,gamma_gain,3.832043394
19,joint,uncMeta,2.532048398
19,joint,confCritR,0.6751726144
19,joint,confCritL,0.6058956949
19,joint,nll,15.44505367
19,joint_seq_init,guessRate,0.01
19,joint_seq_init,alpha_gain,0.792827361
19,joint_seq_init,beta_gain,0.3820306477
19,joint_seq_init,gamma_gain,1.687472712
